wavelength	irradiance
308.9407	0
309.5194	0
310.098	0
310.6765	0
311.2548	0
311.833	0
312.4111	0
312.9891	0
313.5669	0
314.1446	0
314.7222	0
315.2997	0
315.877	0
316.4542	0
317.0313	0
317.6083	0
318.1851	0
318.7619	0
319.3385	0
319.9149	0
320.4913	0
321.0675	0
321.6436	0
322.2196	0
322.7954	0
323.3711	0
323.9467	0
324.5222	0
325.0976	0
325.6728	0
326.2479	0
326.8229	0
327.3977	0
327.9725	0
328.5471	0
329.1216	0
329.6959	0
330.2702	0
330.8443	0
331.4182	0
331.9921	0
332.5658	0
333.1395	0
333.7129	0
334.2863	0
334.8595	0
335.4327	0
336.0056	0
336.5785	0
337.1513	0
337.7239	0
338.2964	0
338.8687	0
339.441	0
340.0131	0
340.5851	0
341.157	0
341.7287	0
342.3003	0
342.8718	0
343.4432	0
344.0145	0
344.5856	0
345.1566	0
345.7275	0
346.2982	0
346.8688	0
347.4393	0
348.0097	0
348.58	0
349.1501	0
349.7201	0
350.29	0.0002
350.8597	0.0002
351.4294	0.0002
351.9989	0.0002
352.5683	0.0002
353.1375	0.0002
353.7067	0.0002
354.2757	0.0002
354.8446	0.0002
355.4133	0.0002
355.982	0.0002
356.5505	0.0002
357.1189	0.0002
357.6871	0.0002
358.2553	0.0002
358.8233	0.0002
359.3912	0.0002
359.9589	0.0003
360.5266	0.0002
361.0941	0.0002
361.6615	0.0002
362.2288	0.0002
362.7959	0.0002
363.3629	0.0002
363.9298	0.0002
364.4966	0.0002
365.0633	0.0002
365.6298	0.0002
366.1962	0.0002
366.7625	0.0002
367.3286	0.0002
367.8946	0.0002
368.4605	0.0002
369.0263	0.0002
369.592	0.0002
370.1575	0.0002
370.7229	0.0002
371.2882	0.0002
371.8533	0.0002
372.4184	0.0002
372.9833	0.0002
373.5481	0.0002
374.1127	0.0002
374.6773	0.0002
375.2417	0.0002
375.806	0.0002
376.3701	0.0002
376.9342	0.0002
377.4981	0.0002
378.0619	0.0002
378.6255	0.0002
379.1891	0.0002
