wavelength	irradiance
3.755704E+2	9.248055E-6
3.770473E+2	3.543647E-7
3.785271E+2	4.675886E-7
3.800097E+2	3.504877E-6
3.814951E+2	5.876404E-6
3.829833E+2	1.146067E-6
3.844742E+2	4.166440E-6
3.859680E+2	4.120509E-6
3.874645E+2	3.190764E-6
3.889637E+2	-2.461538E-6
3.904657E+2	-4.333868E-7
3.919703E+2	1.374738E-6
3.934777E+2	-1.889122E-6
3.949877E+2	1.965798E-6
3.965004E+2	3.347080E-6
3.980157E+2	2.468453E-6
3.995336E+2	1.544388E-6
4.010542E+2	8.144215E-7
4.025773E+2	2.164835E-6
4.041031E+2	1.485122E-6
4.056313E+2	3.001605E-7
4.071622E+2	1.580195E-6
4.086956E+2	3.626374E-6
4.102314E+2	1.653537E-6
4.117698E+2	4.560563E-6
4.133107E+2	2.686751E-6
4.148541E+2	5.296950E-6
4.163999E+2	5.648846E-6
4.179481E+2	6.189036E-6
4.194988E+2	8.265712E-6
4.210519E+2	8.435609E-6
4.226073E+2	1.017533E-5
4.241652E+2	1.120138E-5
4.257254E+2	1.466230E-5
4.272880E+2	1.716162E-5
4.288528E+2	2.127473E-5
4.304200E+2	2.522015E-5
4.319895E+2	3.067045E-5
4.335613E+2	3.612248E-5
4.351354E+2	4.698345E-5
4.367117E+2	5.589900E-5
4.382902E+2	7.159032E-5
4.398710E+2	8.946882E-5
4.414540E+2	1.119494E-4
4.430392E+2	1.377063E-4
4.446265E+2	1.672988E-4
4.462160E+2	1.995941E-4
4.478076E+2	2.469865E-4
4.494014E+2	2.864727E-4
4.509973E+2	3.260845E-4
4.525953E+2	3.471352E-4
4.541954E+2	3.581559E-4
4.557975E+2	3.568873E-4
4.574017E+2	3.434153E-4
4.590079E+2	3.300242E-4
4.606162E+2	3.080998E-4
4.622264E+2	2.828165E-4
4.638386E+2	2.609644E-4
4.654529E+2	2.425526E-4
4.670690E+2	2.213413E-4
4.686871E+2	2.076978E-4
4.703072E+2	1.887277E-4
4.719291E+2	1.715975E-4
4.735530E+2	1.553009E-4
4.751787E+2	1.417941E-4
4.768063E+2	1.281201E-4
4.784357E+2	1.151856E-4
4.800670E+2	1.039124E-4
4.817001E+2	9.494494E-5
4.833350E+2	8.716002E-5
4.849717E+2	7.753051E-5
4.866101E+2	7.318336E-5
4.882503E+2	6.670149E-5
4.898923E+2	6.107476E-5
4.915359E+2	5.763773E-5
4.931813E+2	5.505595E-5
4.948284E+2	5.293663E-5
4.964772E+2	5.061357E-5
4.981276E+2	5.015780E-5
4.997796E+2	4.960079E-5
5.014333E+2	5.088278E-5
5.030886E+2	5.216566E-5
5.047456E+2	5.326806E-5
5.064041E+2	5.628917E-5
5.080641E+2	6.054960E-5
5.097257E+2	6.518159E-5
5.113889E+2	7.019472E-5
5.130536E+2	7.812292E-5
5.147198E+2	8.580980E-5
5.163875E+2	9.377395E-5
5.180566E+2	1.030006E-4
5.197272E+2	1.139543E-4
5.213993E+2	1.253177E-4
5.230728E+2	1.379301E-4
5.247477E+2	1.493538E-4
5.264240E+2	1.590166E-4
5.281017E+2	1.690283E-4
5.297807E+2	1.759186E-4
5.314612E+2	1.800946E-4
5.331429E+2	1.805614E-4
5.348260E+2	1.804197E-4
5.365103E+2	1.775493E-4
5.381960E+2	1.729102E-4
5.398829E+2	1.657826E-4
5.415711E+2	1.603429E-4
5.432606E+2	1.538068E-4
5.449512E+2	1.468734E-4
5.466431E+2	1.406874E-4
5.483362E+2	1.339040E-4
5.500304E+2	1.294562E-4
5.517258E+2	1.251120E-4
5.534224E+2	1.203072E-4
5.551201E+2	1.169026E-4
5.568189E+2	1.125403E-4
5.585189E+2	1.103727E-4
5.602199E+2	1.067944E-4
5.619220E+2	1.040801E-4
5.636251E+2	1.010415E-4
5.653293E+2	1.000080E-4
5.670345E+2	9.860477E-5
5.687407E+2	9.737014E-5
5.704479E+2	9.650331E-5
5.721561E+2	9.512208E-5
