wavelength	relative irradiance
400.000000	0.004675
401.000000	0.002057
402.000000	0.001307
403.000000	0.005726
404.000000	0.005688
405.000000	0.002489
406.000000	0.007015
407.000000	0.007473
408.000000	0.007373
409.000000	0.005893
410.000000	0.007954
411.000000	0.008567
412.000000	0.007577
413.000000	0.013807
414.000000	0.023678
415.000000	0.019085
416.000000	0.024875
417.000000	0.028988
418.000000	0.036974
419.000000	0.039656
420.000000	0.046757
421.000000	0.056338
422.000000	0.064939
423.000000	0.071181
424.000000	0.086477
425.000000	0.101207
426.000000	0.123302
427.000000	0.122291
428.000000	0.137514
429.000000	0.153609
430.000000	0.183118
431.000000	0.200424
432.000000	0.223126
433.000000	0.252100
434.000000	0.265257
435.000000	0.299534
436.000000	0.318110
437.000000	0.335076
438.000000	0.348410
439.000000	0.363339
440.000000	0.364855
441.000000	0.359742
442.000000	0.331532
443.000000	0.311429
444.000000	0.297999
445.000000	0.262039
446.000000	0.231768
447.000000	0.206650
448.000000	0.180623
449.000000	0.162416
450.000000	0.146154
451.000000	0.128863
452.000000	0.123193
453.000000	0.115810
454.000000	0.107031
455.000000	0.099371
456.000000	0.097690
457.000000	0.091458
458.000000	0.088197
459.000000	0.085389
460.000000	0.079319
461.000000	0.071523
462.000000	0.068791
463.000000	0.066551
464.000000	0.062008
465.000000	0.063422
466.000000	0.058861
467.000000	0.061747
468.000000	0.061893
469.000000	0.062603
470.000000	0.064518
471.000000	0.067105
472.000000	0.067601
473.000000	0.070001
474.000000	0.071048
475.000000	0.074211
476.000000	0.080399
477.000000	0.080457
478.000000	0.088064
479.000000	0.092892
480.000000	0.105025
481.000000	0.106129
482.000000	0.111557
483.000000	0.117213
484.000000	0.127000
485.000000	0.136046
486.000000	0.146231
487.000000	0.150933
488.000000	0.165976
489.000000	0.171367
490.000000	0.182971
491.000000	0.188841
492.000000	0.200651
493.000000	0.211840
494.000000	0.222723
495.000000	0.227932
496.000000	0.240057
497.000000	0.249814
498.000000	0.258311
499.000000	0.268025
500.000000	0.273296
501.000000	0.283199
502.000000	0.292256
503.000000	0.300869
504.000000	0.310576
505.000000	0.312971
506.000000	0.323568
507.000000	0.330759
508.000000	0.339283
509.000000	0.346529
510.000000	0.352288
511.000000	0.357928
512.000000	0.364605
513.000000	0.375008
514.000000	0.376163
515.000000	0.381936
516.000000	0.388446
517.000000	0.393417
518.000000	0.394156
519.000000	0.400526
520.000000	0.408142
521.000000	0.411102
522.000000	0.417738
523.000000	0.421304
524.000000	0.437139
525.000000	0.434387
526.000000	0.440724
527.000000	0.448417
528.000000	0.450224
529.000000	0.454742
530.000000	0.464599
531.000000	0.473589
532.000000	0.477359
533.000000	0.480452
534.000000	0.487191
535.000000	0.495863
536.000000	0.499650
537.000000	0.511577
538.000000	0.520606
539.000000	0.525314
540.000000	0.535215
541.000000	0.542595
542.000000	0.544709
543.000000	0.552165
544.000000	0.561211
545.000000	0.570478
546.000000	0.575627
547.000000	0.577611
548.000000	0.587575
549.000000	0.591839
550.000000	0.598546
551.000000	0.609357
552.000000	0.613924
553.000000	0.617452
554.000000	0.624654
555.000000	0.623053
556.000000	0.640348
557.000000	0.645889
558.000000	0.652977
559.000000	0.657407
560.000000	0.664050
561.000000	0.668168
562.000000	0.673999
563.000000	0.686948
564.000000	0.686224
565.000000	0.695589
566.000000	0.700654
567.000000	0.707594
568.000000	0.717387
569.000000	0.726251
570.000000	0.735459
571.000000	0.743854
572.000000	0.745662
573.000000	0.749628
574.000000	0.759108
575.000000	0.765257
576.000000	0.769072
577.000000	0.781418
578.000000	0.785641
579.000000	0.798648
580.000000	0.800761
581.000000	0.815036
582.000000	0.822908
583.000000	0.821643
584.000000	0.833721
585.000000	0.837305
586.000000	0.846661
587.000000	0.855933
588.000000	0.858387
589.000000	0.871234
590.000000	0.883492
591.000000	0.884026
592.000000	0.890911
593.000000	0.900489
594.000000	0.904404
595.000000	0.911237
596.000000	0.923480
597.000000	0.929517
598.000000	0.926744
599.000000	0.942596
600.000000	0.944388
601.000000	0.952298
602.000000	0.959866
603.000000	0.961149
604.000000	0.962515
605.000000	0.969814
606.000000	0.966563
607.000000	0.986929
608.000000	0.978830
609.000000	0.981019
610.000000	0.989102
611.000000	0.978670
612.000000	0.983044
613.000000	0.998769
614.000000	0.981320
615.000000	0.988897
616.000000	0.994452
617.000000	0.979353
618.000000	0.995537
619.000000	0.977696
620.000000	0.973280
621.000000	0.984201
622.000000	0.984550
623.000000	0.980222
624.000000	0.975728
625.000000	0.964803
626.000000	0.969136
627.000000	0.968924
628.000000	0.953316
629.000000	0.945983
630.000000	0.937601
631.000000	0.937898
632.000000	0.931001
633.000000	0.931580
634.000000	0.938941
635.000000	0.912069
636.000000	0.904864
637.000000	0.899950
638.000000	0.893114
639.000000	0.886085
640.000000	0.884689
641.000000	0.870225
642.000000	0.861660
643.000000	0.850686
644.000000	0.840751
645.000000	0.829916
646.000000	0.822383
647.000000	0.811991
648.000000	0.791293
649.000000	0.794347
650.000000	0.791663
651.000000	0.772842
652.000000	0.750432
653.000000	0.753105
654.000000	0.738781
655.000000	0.727666
656.000000	0.706635
657.000000	0.706088
658.000000	0.699557
659.000000	0.690422
660.000000	0.666249
661.000000	0.655699
662.000000	0.652276
663.000000	0.640085
664.000000	0.630556
665.000000	0.617513
666.000000	0.597588
667.000000	0.597758
668.000000	0.575802
669.000000	0.563369
670.000000	0.556089
671.000000	0.540582
672.000000	0.530635
673.000000	0.525406
674.000000	0.520503
675.000000	0.505245
676.000000	0.494074
677.000000	0.484890
678.000000	0.466409
679.000000	0.475446
680.000000	0.438224
681.000000	0.453127
682.000000	0.453987
683.000000	0.412202
684.000000	0.417509
685.000000	0.416637
686.000000	0.392964
687.000000	0.396918
688.000000	0.386134
689.000000	0.376061
690.000000	0.373442
691.000000	0.352529
692.000000	0.351072
693.000000	0.331993
694.000000	0.326729
695.000000	0.320999
696.000000	0.317251
697.000000	0.308014
698.000000	0.292775
699.000000	0.308433
700.000000	0.285100
