wave,SPD
380.39,0.0002694892
381.16,0.0002794199
381.93,0.0002800872
382.70,0.0002951832
383.47,0.0002997141
384.25,0.0002952084
385.02,0.0002978318
385.79,0.0003015912
386.57,0.000307609
387.34,0.0003136801
388.11,0.0003176502
388.89,0.0003213812
389.66,0.0003234958
390.44,0.000337162
391.21,0.0003432032
391.99,0.0003412391
392.76,0.0003608497
393.54,0.0003646178
394.31,0.0003753812
395.09,0.0003836374
395.86,0.0004031439
396.64,0.0004168934
397.41,0.0004265946
398.19,0.0004338549
398.97,0.0004537956
399.74,0.0004805084
400.52,0.0005183099
401.30,0.0005351728
402.08,0.0005532197
402.85,0.0006022711
403.63,0.0006535183
404.41,0.0007096117
405.19,0.0007607629
405.96,0.000816939
406.74,0.0008974439
407.52,0.0009753506
408.30,0.0010599626
409.08,0.0011671655
409.86,0.0012783039
410.64,0.0013933345
411.42,0.001529039
412.20,0.001699898
412.98,0.0018946603
413.76,0.0021161907
414.54,0.0023677722
415.32,0.0026518889
416.10,0.0029790123
416.88,0.0033283501
417.66,0.0037883141
418.44,0.0043071658
419.22,0.0048963043
420.00,0.0055932623
420.78,0.0063951357
421.56,0.0073539378
422.35,0.008436527
423.13,0.0096417124
423.91,0.0111346024
424.69,0.0127341775
425.48,0.0145456367
426.26,0.0168243175
427.04,0.0192138317
427.82,0.0218431408
428.61,0.024932595
429.39,0.0284476583
430.17,0.0320887408
430.96,0.0364695575
431.74,0.0411421667
432.53,0.0461868742
433.31,0.0517454267
434.09,0.0578593592
434.88,0.0643563383
435.66,0.071812375
436.45,0.0799625467
437.23,0.0879460925
438.02,0.0974736308
438.80,0.1077148167
439.59,0.11795016
440.37,0.12895285
441.16,0.139615975
441.94,0.1505097417
442.73,0.1613748417
443.52,0.1706995083
444.30,0.1791777583
445.09,0.185001825
445.88,0.1895231667
446.66,0.1911201
447.45,0.1909289333
448.24,0.18817175
449.02,0.1832255667
449.81,0.1755207917
450.60,0.1656210083
451.39,0.155154325
452.17,0.1435261917
452.96,0.132146975
453.75,0.1210273083
454.54,0.1115145467
455.33,0.1019169017
456.11,0.0936775067
456.90,0.0863857942
457.69,0.0800271192
458.48,0.074411975
459.27,0.0691155525
460.06,0.0648709817
460.85,0.0604592433
461.64,0.0565526317
462.43,0.0529308725
463.22,0.0490654267
464.01,0.0454187442
464.79,0.0418348708
465.58,0.0383683308
466.37,0.035026415
467.17,0.03200441
467.96,0.0292807392
468.75,0.026526175
469.54,0.0241465875
470.33,0.022034385
471.12,0.020169305
471.91,0.0184262442
472.70,0.0170332233
473.49,0.0157355608
474.28,0.0145975708
475.07,0.01353951
475.87,0.012614865
476.66,0.0117440332
477.45,0.010983275
478.24,0.0102244133
479.03,0.0094971433
479.83,0.0089073544
480.62,0.0083037268
481.41,0.0077431204
482.20,0.00726595
482.99,0.0067782748
483.79,0.0062932711
484.58,0.0059312779
485.37,0.0055690587
486.17,0.0052483044
486.96,0.0049700662
487.75,0.0047337139
488.55,0.0045458773
489.34,0.0044008945
490.13,0.0042892633
490.93,0.0042213004
491.72,0.0041783075
492.51,0.0041826748
493.31,0.0042155262
494.10,0.0042778968
494.90,0.0043667626
495.69,0.0045027789
496.49,0.0046565869
497.28,0.0048365578
498.07,0.0050747323
498.87,0.0053258537
499.66,0.00563956
500.46,0.0059962581
501.25,0.0063986481
502.05,0.0068434833
502.84,0.0073165145
503.64,0.0078340319
504.43,0.008402105
505.23,0.0089999233
506.03,0.0095975055
506.82,0.0102828016
507.62,0.0110140814
508.41,0.011775436
509.21,0.0125885808
510.00,0.0134674408
510.80,0.0144141975
511.60,0.0154412267
512.39,0.016507465
513.19,0.0176444933
513.99,0.0186686025
514.78,0.01979036
515.58,0.0209472717
516.38,0.0219954725
517.17,0.0230627517
517.97,0.0241563317
518.77,0.0251979558
519.56,0.02621347
520.36,0.0271720567
521.16,0.0282298208
521.95,0.0291456475
522.75,0.03026702
523.55,0.03124902
524.35,0.0323608275
525.14,0.0335398825
525.94,0.0346458767
526.74,0.0356935483
527.54,0.0366894167
528.33,0.0377205592
529.13,0.0385997875
529.93,0.0393705067
530.73,0.0400284525
531.53,0.0406123608
532.32,0.0411219508
533.12,0.04149423
533.92,0.0417751817
534.72,0.0421254067
535.52,0.0424666208
536.32,0.042777715
537.11,0.0430342433
537.91,0.0433237292
538.71,0.0435108875
539.51,0.0435502983
540.31,0.0436897258
541.11,0.0437058842
541.91,0.0436360808
542.71,0.0435876758
543.51,0.0433392467
544.30,0.0430785408
545.10,0.0428009467
545.90,0.0423958158
546.70,0.0419511408
547.50,0.0416419742
548.30,0.041229115
549.10,0.0407558975
549.90,0.0403719425
550.70,0.0399554458
551.50,0.0395805583
552.30,0.0391989375
553.10,0.0387387175
553.90,0.0383513
554.70,0.03782309
555.50,0.0373188067
556.30,0.0369474092
557.10,0.0364192442
557.90,0.0358661958
558.70,0.035398795
559.50,0.0348532208
560.30,0.0343207167
561.10,0.0338663692
561.90,0.033311105
562.70,0.0328502983
563.50,0.0322465867
564.30,0.0318501883
565.10,0.0314055192
565.90,0.030900745
566.70,0.0305547383
567.50,0.0300846967
568.30,0.0296594642
569.10,0.0292834808
569.90,0.0287562783
570.70,0.0284254383
571.50,0.0280117917
572.30,0.0276114125
573.10,0.0271826417
573.90,0.0268218067
574.70,0.02659989
575.50,0.026253885
576.30,0.0259122383
577.11,0.0256532758
577.91,0.0254186258
578.71,0.0251157133
579.51,0.0248857533
580.31,0.0246749967
581.11,0.0244897533
581.91,0.0242368167
582.71,0.024082775
583.51,0.023954485
584.31,0.0237543958
585.11,0.0235459642
585.92,0.0234417583
586.72,0.0232976592
587.52,0.0232281417
588.32,0.0230695817
589.12,0.0229720742
589.92,0.0228298092
590.72,0.022715935
591.52,0.0226886383
592.32,0.0225690933
593.13,0.0225480483
593.93,0.0224308933
594.73,0.0224121342
595.53,0.0223914742
596.33,0.0222843125
597.13,0.0222405358
597.93,0.0221850983
598.73,0.0221353867
599.53,0.0220713075
600.34,0.0220307958
601.14,0.02196652
601.94,0.0219502575
602.74,0.0218962417
603.54,0.021897205
604.34,0.0217796875
605.14,0.0217351617
605.94,0.0217428092
606.75,0.0216432542
607.55,0.0215632392
608.35,0.0215656192
609.15,0.02147411
609.95,0.0214523183
610.75,0.021383625
611.55,0.021305465
612.35,0.02125429
613.16,0.0211831725
613.96,0.0211258742
614.76,0.0209258658
615.56,0.0208426025
616.36,0.0207580425
617.16,0.0206870808
617.96,0.0205367542
618.76,0.0204666267
619.57,0.0204306092
620.37,0.02029654
621.17,0.0201809833
621.97,0.0201331025
622.77,0.020051285
623.57,0.0199202242
624.37,0.0198334058
625.17,0.0197552225
625.97,0.0196761675
626.77,0.0195459783
627.58,0.0194742758
628.38,0.0193423608
629.18,0.01927279
629.98,0.0191942817
630.78,0.0191501667
631.58,0.018973395
632.38,0.0188855708
633.18,0.0187997908
633.98,0.0187409242
634.78,0.0186225467
635.58,0.0184750592
636.38,0.0183819117
637.19,0.0182303258
637.99,0.0181604242
638.79,0.0180327058
639.59,0.0179335325
640.39,0.0177949842
641.19,0.0176657875
641.99,0.017524535
642.79,0.0173689358
643.59,0.0171968175
644.39,0.0170150725
645.19,0.0169155242
645.99,0.0167271833
646.79,0.0165120492
647.59,0.0163424542
648.39,0.0161535908
649.19,0.0159237258
649.99,0.0157321292
650.79,0.0155462658
651.59,0.0153676933
652.39,0.0151330542
653.19,0.0149633717
653.99,0.01475069
654.79,0.0145846908
655.59,0.0143618042
656.39,0.0141770675
657.19,0.0139604967
657.99,0.0137410025
658.79,0.0135354317
659.59,0.0133214508
660.39,0.01312801
661.19,0.0129167683
661.99,0.0127214692
662.79,0.0125412342
663.59,0.0122981033
664.39,0.0121309092
665.19,0.0119133702
665.99,0.0117246635
666.79,0.0114836475
667.58,0.0112870222
668.38,0.0111319878
669.18,0.0109115412
669.98,0.0107003139
670.78,0.0105398418
671.58,0.0103196853
672.38,0.0101527442
673.18,0.0099737353
673.98,0.0098239054
674.77,0.0096377895
675.57,0.0094623388
676.37,0.0092669638
677.17,0.0091029032
677.97,0.0089448052
678.77,0.0087919459
679.56,0.0086069633
680.36,0.0084679238
681.16,0.0082697568
681.96,0.0081618112
682.76,0.0079777936
683.55,0.007832285
684.35,0.0076558529
685.15,0.0075470732
685.95,0.0073923835
686.75,0.0072548703
687.54,0.007107759
688.34,0.0069898652
689.14,0.0068373143
689.93,0.0067011979
690.73,0.0065756348
691.53,0.0064277565
692.33,0.0063206674
693.12,0.0061981032
693.92,0.0060955966
694.72,0.0059592818
695.51,0.0058273019
696.31,0.0056523466
697.11,0.0055034572
697.90,0.0053810838
698.70,0.0052588933
699.50,0.0051144523
700.29,0.0049746963
701.09,0.0048594481
701.88,0.0047438797
702.68,0.0046067488
703.48,0.0045322009
704.27,0.0043885066
705.07,0.0042943346
705.86,0.0041539249
706.66,0.0040669059
707.45,0.0039494104
708.25,0.003835533
709.05,0.0037361634
709.84,0.0036290522
710.64,0.0035187439
711.43,0.0034298525
712.23,0.0033397922
713.02,0.0032350298
713.81,0.0031153122
714.61,0.0030514928
715.40,0.0029597402
716.20,0.0028700101
716.99,0.0027623127
717.79,0.0026755492
718.58,0.0025415907
719.37,0.0024587148
720.17,0.002392723
720.96,0.0022932798
721.76,0.0022164423
722.55,0.002131624
723.34,0.002058423
724.14,0.001970277
724.93,0.0019089238
725.72,0.0018548136
726.52,0.001787047
727.31,0.0017188329
728.10,0.0016574557
728.89,0.0016066598
729.69,0.0015441954
730.48,0.001519482
731.27,0.0014844652
732.06,0.0014419094
732.86,0.0014140935
733.65,0.0013762254
734.44,0.0013486031
735.23,0.0013189843
736.02,0.0012934532
736.82,0.0012736768
737.61,0.0012446146
738.40,0.0012416012
739.19,0.0012211263
739.98,0.0012003297
740.77,0.0011967558
741.56,0.001162295
742.35,0.0011569747
743.14,0.0011501858
743.93,0.0011411797
744.72,0.0011232512
745.51,0.0011062922
746.30,0.001078203
747.09,0.0010907952
747.88,0.001064021
748.67,0.0010539822
749.46,0.0010652082
750.25,0.0010707921
751.04,0.0010290737
751.83,0.0010093573
752.62,0.0009870843
753.41,0.0009843469
754.20,0.0009839482
754.99,0.0009612906
755.78,0.0009290289
756.56,0.0009222805
757.35,0.0009071121
758.14,0.0009266042
758.93,0.0008944556
759.72,0.0008850303
760.50,0.0008667768
761.29,0.0008233696
762.08,0.0008178297
762.87,0.0007894769
763.65,0.0007914861
764.44,0.0007663298
765.23,0.0007569051
766.01,0.00073508
766.80,0.0007444024
767.59,0.0007071658
768.37,0.0007039613
769.16,0.0006902533
769.95,0.0006786743
770.73,0.0006628175
771.52,0.0006439501
772.30,0.0006493144
773.09,0.0006512833
773.87,0.0006304932
774.66,0.0005877399
775.44,0.0005793772
776.23,0.0005537011
777.01,0.000544437
777.80,0.0005506386
778.58,0.0005290858
779.36,0.0005616403
780.15,0.0005311986
