Wavelength,A,B,C,D,E,F,G,H,I,J,K,L
380.39,2.04E-04,2.91E-04,2.77E-04,2.31E-04,3.28E-04,2.77E-04,2.46E-04,2.52E-04,3.20E-04,2.46E-04,2.91E-04,2.72E-04
381.16,1.98E-04,3.05E-04,2.27E-04,2.33E-04,3.19E-04,3.12E-04,2.75E-04,3.22E-04,3.12E-04,2.22E-04,3.07E-04,3.21E-04
381.93,2.18E-04,2.83E-04,2.86E-04,2.32E-04,3.06E-04,3.40E-04,2.47E-04,2.85E-04,3.40E-04,2.30E-04,2.95E-04,2.99E-04
382.70,2.29E-04,2.69E-04,2.82E-04,2.53E-04,2.80E-04,3.50E-04,3.19E-04,3.30E-04,3.50E-04,2.77E-04,2.80E-04,3.23E-04
383.47,2.50E-04,3.23E-04,2.76E-04,2.55E-04,3.07E-04,3.68E-04,2.87E-04,3.11E-04,3.42E-04,2.55E-04,3.18E-04,3.07E-04
384.25,2.31E-04,3.16E-04,3.08E-04,2.49E-04,3.53E-04,3.08E-04,2.72E-04,3.26E-04,3.33E-04,2.48E-04,2.99E-04,2.99E-04
385.02,2.41E-04,3.02E-04,2.79E-04,2.39E-04,3.38E-04,3.17E-04,2.69E-04,3.57E-04,3.17E-04,2.69E-04,3.17E-04,3.29E-04
385.79,2.25E-04,2.88E-04,2.87E-04,2.43E-04,3.64E-04,3.37E-04,2.81E-04,3.29E-04,3.12E-04,2.81E-04,3.54E-04,3.17E-04
386.57,2.32E-04,3.20E-04,3.30E-04,2.59E-04,3.36E-04,3.55E-04,2.60E-04,3.45E-04,3.30E-04,2.68E-04,3.47E-04,3.10E-04
387.34,2.43E-04,3.27E-04,2.80E-04,2.79E-04,3.34E-04,3.77E-04,2.58E-04,3.43E-04,3.52E-04,2.96E-04,3.34E-04,3.40E-04
388.11,2.83E-04,3.27E-04,3.19E-04,2.64E-04,3.44E-04,3.54E-04,2.88E-04,3.54E-04,3.42E-04,2.73E-04,3.34E-04,3.30E-04
