wavelength	transmittance
400.000000	0.541127
401.000000	0.620691
402.000000	0.201066
403.000000	0.404884
404.000000	0.594011
405.000000	0.607987
406.000000	0.244858
407.000000	0.490245
408.000000	0.254189
409.000000	0.587086
410.000000	0.378894
411.000000	0.455998
412.000000	0.471824
413.000000	0.613138
414.000000	0.544296
415.000000	0.586208
416.000000	0.606517
417.000000	0.535994
418.000000	0.574455
419.000000	0.565083
420.000000	0.627393
421.000000	0.581245
422.000000	0.575909
423.000000	0.584869
424.000000	0.594637
425.000000	0.603809
426.000000	0.595862
427.000000	0.585885
428.000000	0.591457
429.000000	0.591097
430.000000	0.602588
431.000000	0.593052
432.000000	0.601818
433.000000	0.598509
434.000000	0.596664
435.000000	0.599818
436.000000	0.606504
437.000000	0.612207
438.000000	0.616167
439.000000	0.612486
440.000000	0.617218
441.000000	0.614118
442.000000	0.623267
443.000000	0.625671
444.000000	0.627851
445.000000	0.627002
446.000000	0.628148
447.000000	0.640155
448.000000	0.626828
449.000000	0.637808
450.000000	0.632300
451.000000	0.639799
452.000000	0.654721
453.000000	0.642218
454.000000	0.641091
455.000000	0.645961
456.000000	0.644138
457.000000	0.648332
458.000000	0.654333
459.000000	0.662242
460.000000	0.653439
461.000000	0.663930
462.000000	0.670020
463.000000	0.680207
464.000000	0.644867
465.000000	0.683361
466.000000	0.651805
467.000000	0.677658
468.000000	0.682417
469.000000	0.671502
470.000000	0.669533
471.000000	0.678187
472.000000	0.671182
473.000000	0.670173
474.000000	0.726423
475.000000	0.700618
476.000000	0.711513
477.000000	0.702295
478.000000	0.715615
479.000000	0.716783
480.000000	0.713414
481.000000	0.712268
482.000000	0.709008
483.000000	0.716773
484.000000	0.727247
485.000000	0.718406
486.000000	0.732115
487.000000	0.736899
488.000000	0.738909
489.000000	0.734417
490.000000	0.734049
491.000000	0.740050
492.000000	0.741007
493.000000	0.733706
494.000000	0.741553
495.000000	0.744874
496.000000	0.747912
497.000000	0.752186
498.000000	0.745817
499.000000	0.749941
500.000000	0.747019
501.000000	0.752904
502.000000	0.759421
503.000000	0.756449
504.000000	0.754879
505.000000	0.762090
506.000000	0.760563
507.000000	0.761640
508.000000	0.761346
509.000000	0.762872
510.000000	0.765158
511.000000	0.763883
512.000000	0.771081
513.000000	0.766831
514.000000	0.765654
515.000000	0.769501
516.000000	0.774293
517.000000	0.772764
518.000000	0.772129
519.000000	0.774409
520.000000	0.775857
521.000000	0.775906
522.000000	0.780906
523.000000	0.779271
524.000000	0.781073
525.000000	0.779636
526.000000	0.781211
527.000000	0.781021
528.000000	0.783216
529.000000	0.782219
530.000000	0.788258
531.000000	0.788760
532.000000	0.791201
533.000000	0.793183
534.000000	0.795193
535.000000	0.791879
536.000000	0.792681
537.000000	0.794018
538.000000	0.796256
539.000000	0.798972
540.000000	0.797988
541.000000	0.800416
542.000000	0.799526
543.000000	0.804127
544.000000	0.801165
545.000000	0.805566
546.000000	0.808269
547.000000	0.807548
548.000000	0.805772
549.000000	0.810381
550.000000	0.808972
551.000000	0.805899
552.000000	0.809247
553.000000	0.815191
554.000000	0.812386
555.000000	0.813179
556.000000	0.813008
557.000000	0.817560
558.000000	0.816638
559.000000	0.817194
560.000000	0.820900
561.000000	0.820612
562.000000	0.822168
563.000000	0.823687
564.000000	0.826561
565.000000	0.824369
566.000000	0.825729
567.000000	0.827490
568.000000	0.826950
569.000000	0.833872
570.000000	0.831528
571.000000	0.832295
