wavelength	sensitivity
380	0.0093525
381	0.010512
382	0.011851
383	0.013395
384	0.015171
385	0.017212
386	0.019552
387	0.022225
388	0.02527
389	0.028726
390	0.032632
391	0.037029
392	0.041955
393	0.047447
394	0.053538
395	0.060261
396	0.067644
397	0.075709
398	0.084475
399	0.093958
400	0.10417
401	0.11513
402	0.12683
403	0.13928
404	0.15249
405	0.16646
406	0.18118
407	0.19668
408	0.21294
409	0.22995
410	0.24772
411	0.26623
412	0.28546
413	0.3054
414	0.32603
415	0.34729
416	0.36916
417	0.39157
418	0.41448
419	0.4378
420	0.46147
421	0.48541
422	0.50952
423	0.53372
424	0.55791
425	0.58202
426	0.60594
427	0.62957
428	0.65284
429	0.67565
430	0.69792
431	0.7196
432	0.74061
433	0.76091
434	0.78043
435	0.79916
436	0.81706
437	0.8341
438	0.85029
439	0.8656
440	0.88005
441	0.89362
442	0.90634
443	0.91822
444	0.92926
445	0.93947
446	0.94888
447	0.95749
448	0.9653
449	0.97233
450	0.97858
451	0.98404
452	0.98872
453	0.9926
454	0.99568
455	0.99795
456	0.9994
457	1
458	0.99975
459	0.99864
460	0.99667
461	0.99381
462	0.99007
463	0.98547
464	0.97998
465	0.97363
466	0.96642
467	0.95837
468	0.94949
469	0.93981
470	0.92934
471	0.91813
472	0.90618
473	0.89354
474	0.88024
475	0.8663
476	0.85176
477	0.83665
478	0.82101
479	0.80485
480	0.78822
481	0.77115
482	0.75366
483	0.73578
484	0.71755
485	0.69899
486	0.68014
487	0.66102
488	0.64167
489	0.62211
490	0.60238
491	0.58251
492	0.56252
493	0.54274
494	0.52302
495	0.50327
496	0.48354
497	0.46385
498	0.44421
499	0.86381
500	0.85462
501	0.84489
502	0.83464
503	0.82388
504	0.81263
505	0.80091
506	0.78874
507	0.77615
508	0.76316
509	0.74979
510	0.73606
511	0.72201
512	0.70767
513	0.69306
514	0.6782
515	0.66314
516	0.6479
517	0.6325
518	0.61698
519	0.60138
520	0.5857
521	0.56999
522	0.55427
523	0.53857
524	0.52291
525	0.50731
526	0.49181
527	0.47641
528	0.46115
529	0.44603
530	0.43109
531	0.41633
532	0.40178
533	0.38744
534	0.37333
535	0.35947
536	0.34586
537	0.33252
538	0.31945
539	0.30667
540	0.29418
541	0.28198
542	0.27009
543	0.25851
544	0.24724
545	0.23628
546	0.22565
547	0.21533
548	0.20533
549	0.19564
550	0.18628
551	0.17724
552	0.16851
553	0.16009
554	0.15198
555	0.14418
556	0.13668
557	0.12947
558	0.12256
559	0.11594
560	0.10959
561	0.10353
562	0.097727
563	0.092189
564	0.086906
565	0.081871
566	0.077077
567	0.072517
568	0.068183
569	0.064068
570	0.060164
571	0.056464
572	0.052959
573	0.049643
574	0.046507
575	0.043545
576	0.040749
577	0.038111
578	0.035625
579	0.033283
580	0.03108
581	0.029007
582	0.027059
583	0.02523
584	0.023512
585	0.021902
586	0.020392
587	0.018978
588	0.017654
589	0.016415
590	0.015257
591	0.014174
592	0.013164
593	0.01222
594	0.01134
595	0.01052
596	0.0097556
597	0.0090438
598	0.0083813
599	0.0077651
600	0.0071921
601	0.0066596
602	0.006165
603	0.0057058
604	0.0052796
605	0.0048843
606	0.0045177
607	0.0041779
608	0.003863
609	0.0035714
610	0.0033013
611	0.0030513
612	0.00282
613	0.002606
614	0.0024081
615	0.0022251
616	0.0020559
617	0.0018995
618	0.001755
619	0.0016215
620	0.0014982
621	0.0013844
622	0.0012792
623	0.0011821
624	0.0010925
625	0.0010098
626	0.00093338
627	0.00086288
628	0.00079781
629	0.00073775
630	0.00068231
631	0.00063114
632	0.00058391
633	0.00054032
634	0.00050007
635	0.00046291
636	0.0004286
637	0.00039691
638	0.00036765
639	0.00034061
640	0.00031564
641	0.00029256
642	0.00027123
643	0.0002515
644	0.00023327
645	0.00021641
646	0.00020081
647	0.00018637
648	NaN
649	NaN
650	NaN
651	NaN
652	NaN
653	NaN
654	NaN
655	NaN
656	NaN
657	NaN
658	NaN
659	NaN
660	NaN
661	NaN
662	NaN
663	NaN
664	NaN
665	NaN
666	NaN
667	NaN
668	NaN
669	NaN
670	NaN
671	NaN
672	NaN
673	NaN
674	NaN
675	NaN
676	NaN
677	NaN
678	NaN
679	NaN
680	NaN
681	NaN
682	NaN
683	NaN
684	NaN
685	NaN
686	NaN
687	NaN
688	NaN
689	NaN
690	NaN
691	NaN
692	NaN
693	NaN
694	NaN
695	NaN
696	NaN
697	NaN
698	NaN
699	NaN
700	NaN
701	NaN
702	NaN
703	NaN
704	NaN
705	NaN
706	NaN
707	NaN
708	NaN
709	NaN
710	NaN
711	NaN
712	NaN
713	NaN
714	NaN
715	NaN
716	NaN
717	NaN
718	NaN
719	NaN
720	NaN
721	NaN
722	NaN
723	NaN
724	NaN
725	NaN
726	NaN
727	NaN
728	NaN
729	NaN
730	NaN
731	NaN
732	NaN
733	NaN
734	NaN
735	NaN
736	NaN
737	NaN
738	NaN
739	NaN
740	NaN
741	NaN
742	NaN
743	NaN
744	NaN
745	NaN
746	NaN
747	NaN
748	NaN
749	NaN
750	NaN
751	NaN
752	NaN
753	NaN
754	NaN
755	NaN
756	NaN
757	NaN
758	NaN
759	NaN
760	NaN
761	NaN
762	NaN
763	NaN
764	NaN
765	NaN
766	NaN
767	NaN
768	NaN
769	NaN
770	NaN
771	NaN
772	NaN
773	NaN
774	NaN
775	NaN
776	NaN
777	NaN
778	NaN
779	NaN
780	NaN
