wavelength [nm]	Irradiance [10-6 W cm-2]
380	0.0132918841
381	0.0135829592
382	0.0138783766
383	0.0141780007
384	0.0144821029
385	0.0147906831
386	0.0151036058
387	0.0154208708
388	0.0157427496
389	0.0160689707
390	0.01639967
391	0.016734983
392	0.0170747741
393	0.017419179
394	0.0177681976
395	0.0181216944
396	0.0184798049
397	0.0188425291
398	0.0192100029
399	0.0195819547
400	0.0199586561
401	0.0203401068
402	0.0207261714
403	0.0211169855
404	0.0215124133
405	0.0219127263
406	0.022317653
407	0.022727465
408	0.0231418907
409	0.0235612016
410	0.023985262
411	0.0244140718
412	0.0248476312
413	0.0252860757
414	0.0257292697
415	0.0261773488
416	0.0266301774
417	0.0270878913
418	0.0275504902
419	0.0280178387
420	0.0284900723
421	0.0289670554
422	0.0294489237
423	0.0299356772
424	0.0304271801
425	0.0309235682
426	0.0314248415
427	0.031931
428	0.0324419079
429	0.0329577011
430	0.0334782437
431	0.0340036714
432	0.0345339844
433	0.0350690468
434	0.0356089944
435	0.0361536915
436	0.0367032737
437	0.0372576054
438	0.0378168223
439	0.038380653
440	0.0389493689
441	0.0395228342
442	0.0401011847
443	0.040684149
444	0.0412718627
445	0.041864326
446	0.0424615387
447	0.0430635009
448	0.0436700768
449	0.0442814023
450	0.0448973415
451	0.0455178945
452	0.0461431969
453	0.0467731132
454	0.0474076432
455	0.048046787
456	0.0486904089
457	0.0493386445
458	0.049991494
459	0.0506488215
460	0.0513107628
461	0.0519770464
462	0.0526479439
463	0.0533231837
464	0.0540029016
465	0.0546870975
466	0.0553756359
467	0.0560685166
468	0.0567657397
469	0.0574674409
470	0.0581733488
471	0.0588834633
472	0.0595980559
473	0.0603167196
474	0.0610397255
475	0.0617668025
476	0.0624980861
477	0.0632335764
478	0.0639731377
479	0.06471677
480	0.0654644733
481	0.0662162475
482	0.0669720927
483	0.0677318732
484	0.068495589
485	0.0692633757
486	0.0700349621
487	0.070810348
488	0.0715896692
489	0.07237279
490	0.073159846
491	0.0739504303
492	0.0747449498
493	0.0755429975
494	0.0763448448
495	0.077150356
496	0.0779593953
497	0.0787719628
498	0.0795881942
499	0.0804079538
500	0.0812311059
501	0.0820577862
502	0.0828878589
503	0.0837213241
504	0.0845580462
505	0.0853982963
506	0.0862416676
507	0.0870884314
508	0.0879383162
509	0.0887914579
510	0.0896477206
511	0.0905071044
512	0.0913696092
513	0.0922350995
514	0.0931035752
515	0.0939751719
516	0.0948496183
517	0.0957270501
518	0.0966073316
519	0.0974904628
520	0.0983764437
521	0.0992651385
522	0.1001565473
523	0.1010506702
524	0.101947507
525	0.1028469221
526	0.1037490512
527	0.1046536228
528	0.1055607728
529	0.1064703653
530	0.1073824005
531	0.1082968782
532	0.1092136628
533	0.11013289
534	0.1110544241
535	0.1119781293
536	0.1129041415
537	0.1138321892
538	0.1147625437
539	0.1156950694
540	0.116629495
541	0.1175660917
542	0.1185045882
543	0.1194451202
544	0.1203876876
545	0.1213320192
546	0.1222782506
547	0.123226246
548	0.1241760056
549	0.1251276649
550	0.1260809526
551	0.1270358687
552	0.1279924132
553	0.1289505862
554	0.1299102517
555	0.1308715457
556	0.1318343324
557	0.1327984761
558	0.1337641124
559	0.1347309701
560	0.1356993205
561	0.1366695706
562	0.1376398207
563	0.1386114279
564	0.139585749
565	0.1405600701
566	0.1415357482
567	0.1425114263
568	0.1434898184
569	0.1444682105
570	0.1454479596
571	0.1464277087
