"Wavelength [nm]"	"V(l)_(CIE 1924)"	"V'(l)_(CIE 1951)"	M(l)_(Takahashi 2011)	ipRGC(l)_(Takahashi 2011)
380	0.000039	0.000589	0.2084592224	0
381	4.28264E-005	0.000665	0.2183701367	0
382	4.69146E-005	0.000752	0.2285653615	0
383	5.15896E-005	0.000854	0.2390425785	0
384	5.71764E-005	0.000972	0.249798839	0
385	0.000064	0.001108	0.2608305533	0
386	7.234421E-005	0.001268	0.2721334813	0
387	8.221224E-005	0.001453	0.283702725	0
388	9.350816E-005	0.001668	0.2955327231	0
389	0.0001061361	0.001918	0.3076172481	0
390	0.00012	0.002209	0.3199494042	0.0004809342
391	0.000134984	0.002547	0.3325216287	0.0006000864
392	0.000151492	0.002939	0.3453256948	0.0007477178
393	0.000170208	0.003394	0.3583527163	0.0009302647
394	0.000191816	0.003921	0.3715931554	0.0011554987
395	0.000217	0.00453	0.3850368317	0.0014327671
396	0.0002469067	0.00524	0.3986729339	0.0017733078
397	0.00028124	0.00605	0.4124900336	0.002190454
398	0.00031852	0.00698	0.4264761013	0.0027000684
399	0.0003572667	0.00806	0.4406185242	0.0033210476
400	0.000396	0.00929	0.4549041265	0.0040754377
401	0.0004337147	0.0107	0.4693191911	0.0049886305
402	0.000473024	0.01231	0.4838494842	0.0060880114
403	0.000517876	0.01413	0.4984802805	0.0074026244
404	0.0005722187	0.01619	0.5131963915	0.0089627488
405	0.00064	0.01852	0.5279821947	0.010798691
406	0.00072456	0.02113	0.5428216646	0.0129403052
407	0.0008255	0.02405	0.5576984055	0.0154198654
408	0.00094116	0.0273	0.5725956852	0.0182691555
409	0.00106988	0.03089	0.5874964704	0.0215177751
410	0.00121	0.03484	0.6023834633	0.0251928011
411	0.001362091	0.03916	0.6172391392	0.0293173682
412	0.001530752	0.0439	0.6320457848	0.033922838
413	0.001720368	0.049	0.6467855372	0.0390433725
414	0.001935323	0.0545	0.6614404248	0.0447166976
415	0.00218	0.0604	0.6759924065	0.0509833899
416	0.0024548	0.0668	0.6904234137	0.0578806832
417	0.002764	0.0736	0.7047153907	0.0654054509
418	0.0031178	0.0808	0.7188503361	0.0735222913
419	0.0035264	0.0885	0.732810344	0.0821690736
420	0.004	0.0966	0.7465776451	0.0912476171
421	0.00454624	0.1052	0.7601346471	0.1006602511
422	0.00515932	0.1141	0.7734639752	0.1104173752
423	0.00582928	0.1235	0.7865485116	0.1205866962
424	0.00654616	0.1334	0.7993714343	0.1312815273
425	0.0073	0.1436	0.8119162556	0.142655924
426	0.008086507	0.1541	0.8241668585	0.1548737201
427	0.00890872	0.1651	0.8361075334	0.1679063739
428	0.00976768	0.1764	0.8477230124	0.1816510924
429	0.01066443	0.1879	0.8589985032	0.1959612087
430	0.0116	0.1998	0.8699197207	0.210626686
431	0.01257317	0.2119	0.880472918	0.225459133
432	0.01358272	0.2243	0.8906449151	0.240476932
433	0.01462968	0.2369	0.9004231266	0.2557939084
434	0.01571509	0.2496	0.9097955865	0.2715677683
435	0.01684	0.2625	0.9187509727	0.2880033862
436	0.01800736	0.2755	0.9272786285	0.3052800541
437	0.01921448	0.2886	0.9353685824	0.3232517429
438	0.02045392	0.3017	0.9430115666	0.3416450182
439	0.02171824	0.3149	0.9501990322	0.3601316247
440	0.023	0.3281	0.9569231637	0.3783115222
441	0.02429461	0.3412	0.9631768906	0.3958313747
442	0.02561024	0.3543	0.9689538976	0.4128035248
443	0.02695857	0.3673	0.9742486318	0.4295258556
444	0.02835125	0.3803	0.9790563087	0.4463218478
445	0.0298	0.3931	0.983372916	0.463628447
446	0.03131083	0.406	0.9871952147	0.4817761009
447	0.03288368	0.418	0.9905207394	0.5005688344
448	0.03452112	0.431	0.9933477955	0.5196199712
449	0.03622571	0.443	0.9956754548	0.5384822521
450	0.038	0.455	0.9975035499	0.5566478012
451	0.03984667	0.467	0.9988326656	0.5736976983
452	0.041768	0.479	0.9996641294	0.5897108586
453	0.043766	0.49	1	0.604948474
454	0.04584267	0.502	0.999843054	0.6196987968
455	0.048	0.513	0.9991967714	0.6343159169
456	0.05024368	0.524	0.9980653192	0.6490869077
457	0.05257304	0.535	0.9964535337	0.6640516697
458	0.05498056	0.546	0.9943669017	0.6791756045
459	0.05745872	0.557	0.9918115399	0.6944528308
460	0.06	0.567	0.9887941738	0.7098279056
461	0.06260197	0.578	0.9853221151	0.7252572444
