Wavelength [nm]	Energy of one photon [J]	Photon density	Irradiance [W/m2] * V	Irradiance [W/m2] * V'	Irradiance [W/m2] * M(l)	Irradiance [W/m2] * ipRGC(l)
380	5.22748864018238E-019	726.9264959832	1444	0.0001482	0.0022382	0.792145045
381	5.21376819755723E-019	730.7574590265	1451.61	0.0001631686	0.00253365	0.8319902209
382	5.20011958971022E-019	734.5984903037	1459.24	0.0001792138	0.00287264	0.8731196811
383	5.18654225396685E-019	738.449589815	1466.89	0.0001975882	0.00327082	0.9155330755
384	5.17303563351381E-019	742.3107575603	1474.56	0.0002195574	0.00373248	0.9592275417
385	5.15959917732287E-019	746.1819935396	1482.25	0.0002464	0.0042658	1.0041976303
386	5.14623234007591E-019	750.0632977529	1489.96	0.0002792487	0.00489448	1.0504352379
387	5.13293458209122E-019	753.9546702002	1497.69	0.0003181614	0.00562311	1.0979295457
388	5.11970536925078E-019	757.8561108816	1505.44	0.0003628117	0.00647184	1.1466669658
389	5.1065441729288E-019	761.767619797	1513.21	0.0004128694	0.00746102	1.196631095
390	5.09345046992129E-019	765.6891969463	1521	0.000468	0.0086151	1.2478026763
391	5.08042374237673E-019	769.6208423297	1528.81	0.0005277874	0.00995877	1.3001595683
392	5.06746347772781E-019	773.5625559472	1536.64	0.0005938486	0.01152088	1.3536767236
393	5.05456916862418E-019	777.5143377986	1544.49	0.0006689174	0.01333842	1.4083261753
394	5.04174031286625E-019	781.476187884	1552.36	0.000755755	0.01544874	1.4640770325
395	5.02897641334001E-019	785.4481062035	1560.25	0.00085715	0.0178935	1.5208954852
396	5.01627697795279E-019	789.430092757	1568.16	0.0009777505	0.0207504	1.5787448181
397	5.00364151957003E-019	793.4221475445	1576.09	0.0011165228	0.0240185	1.6375854332
398	4.99106955595302E-019	797.424270566	1584.04	0.0012677096	0.0277804	1.697374883
399	4.9785606096975E-019	801.4364618215	1592.01	0.0014254941	0.0321594	1.7580679116
400	4.96611420817326E-019	805.4587213111	1600	0.001584	0.03716	1.8196165059
401	4.9537298834646E-019	809.4910490346	1608.01	0.0017391959	0.042907	1.8819699565
402	4.9414071723117E-019	813.5334449922	1616.04	0.0019015565	0.0494862	1.9450749264
403	4.92914561605286E-019	817.5859091838	1624.09	0.0020870403	0.0569439	2.0088755303
404	4.91694476056758E-019	821.6484416094	1632.16	0.0023117635	0.0654076	2.0733134216
405	4.9048041562205E-019	825.7210422691	1640.25	0.002592	0.075006	2.1383278885
406	4.89272335780616E-019	829.8037111627	1648.36	0.0029417136	0.0857878	2.2038559584
407	4.8807019244946E-019	833.8964482904	1656.49	0.003359785	0.0978835	2.2698325105
408	4.8687394197777E-019	837.999253652	1664.64	0.0038399328	0.111384	2.3361903955
409	4.85683541141639E-019	842.1121272477	1672.81	0.0043758092	0.1263401	2.4028605638
410	4.84498947138854E-019	846.2350690775	1681	0.004961	0.142844	2.4697721997
411	4.83320117583772E-019	850.3680791412	1689.21	0.005598194	0.1609476	2.5368528623
412	4.82147010502258E-019	854.5111574389	1697.44	0.0063066982	0.180868	2.6040286332
413	4.80979584326708E-019	858.6643039707	1705.69	0.0071051198	0.20237	2.6712242688
414	4.79817797891136E-019	862.8275187365	1713.96	0.0080122372	0.22563	2.7383633585
415	4.78661610426338E-019	867.0008017363	1722.25	0.009047	0.25066	2.805368487
416	4.77510981555121E-019	871.1841529701	1730.56	0.010211968	0.277888	2.872161401
417	4.76365871287603E-019	875.3775724379	1738.89	0.01152588	0.306912	2.9386631792
418	4.7522624001658E-019	879.5810601397	1747.24	0.013032404	0.337744	3.0047944048
419	4.7409204851296E-019	883.7946160756	1755.61	0.014775616	0.370815	3.0704753413
420	4.72963257921263E-019	888.0182402455	1764	0.0168	0.40572	3.1356261093
421	4.71839829755179E-019	892.2519326494	1772.41	0.0191396704	0.442892	3.2001668642
422	4.707217258932E-019	896.4956932873	1780.84	0.0217723304	0.481502	3.2640179754
423	4.69608908574303E-019	900.7495221592	1789.29	0.0246578544	0.522405	3.327100204
424	4.68501340393703E-019	905.0134192651	1797.76	0.0277557184	0.565616	3.3893348816
425	4.6739898429866E-019	909.2873846051	1806.25	0.031025	0.6103	3.4506440863
426	4.66301803584343E-019	913.5714181791	1814.76	0.0344485198	0.656466	3.5109508173
427	4.65209761889766E-019	917.865519987	1823.29	0.0380402344	0.704977	3.5701791676
428	4.64122823193762E-019	922.1696900291	1831.84	0.0418056704	0.754992	3.6282544932
429	4.63040951811026E-019	926.4839283051	1840.41	0.0457504047	0.806091	3.6851035786
430	4.6196411238821E-019	930.8082348151	1849	0.04988	0.85914	3.7406547989
431	4.6089226990007E-019	935.1426095592	1857.61	0.0541903627	0.913289	3.7948382764
432	4.59825389645672E-019	939.4870525372	1866.24	0.0586773504	0.968976	3.8475860334
433	4.58763437244643E-019	943.8415637493	1874.89	0.0633465144	1.025777	3.898832138
434	4.5770637863348E-019	948.2061431954	1883.56	0.0682034906	1.083264	3.9485128453
435	4.56654180061909E-019	952.5807908756	1892.25	0.073254	1.141875	3.9965667312
436	4.5560680808929E-019	956.9655067897	1900.96	0.0785120896	1.20118	4.0429348201
437	4.54564229581076E-019	961.3602909378	1909.69	0.0839672776	1.261182	4.0875607053
438	4.5352641170532E-019	965.76514332	1918.44	0.0895881696	1.321446	4.1303906617
439	4.52493321929226E-019	970.1800639362	1927.21	0.0953430736	1.382411	4.1713737512
440	4.51464928015751E-019	974.6050527864	1936	0.1012	1.44364	4.2104619201
441	4.5044119802025E-019	979.0401098706	1944.81	0.1071392301	1.504692	4.2476100878
442	4.49422100287173E-019	983.4852351889	1953.64	0.1131972608	1.566006	4.2827762276
443	4.48407603446795E-019	987.9404287411	1962.49	0.1194264651	1.627139	4.315921439
444	4.47397676412005E-019	992.4056905274	1971.36	0.12587955	1.688532	4.3470100108
445	4.46392288375124E-019	996.8810205477	1980.25	0.13261	1.749295	4.3760094761
446	4.45391408804776E-019	1001.366418802	1989.16	0.1396463018	1.81076	4.4028906576
447	4.44395007442797E-019	1005.8618852903	1998.09	0.1469900496	1.86846	4.4276277052
448	4.43403054301184E-019	1010.3674200126	2007.04	0.1546546176	1.93088	4.4501981237
449	4.42415519659088E-019	1014.883022969	2016.01	0.1626534379	1.98907	4.4705827922
450	4.41432374059845E-019	1019.4086941593	2025	0.171	2.0475	4.4887659747
451	4.40453588308049E-019	1023.9444335837	2034.01	0.1797084817	2.10617	4.504735322
452	4.3947913346666E-019	1028.4902412421	2043.04	0.18879136	2.16508	4.518481865
453	4.38508980854151E-019	1033.0461171345	2052.09	0.19825998	2.2197	4.53
454	4.37543102041697E-019	1037.612061261	2061.16	0.2081257218	2.27908	4.5392874653
455	4.36581468850396E-019	1042.1880736214	2070.25	0.2184	2.33415	4.54634531
456	4.35624053348531E-019	1046.7741542159	2079.36	0.2291111808	2.38944	4.5511778556
